Episode 59: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_L[0] increased by 0.1
Episode 4269: lambda_i = 2, phi_i_L = 2.900000000000001, phi_i_H = 8.799999999999988, Action: phi_i_L[2] increased by 0.1
Episode 4272: lambda_i = 0, phi_i_L = 0.9999999999999979, phi_i_H = 4.5, Action: phi_i_H[0] decreased by 0.1
Episode 4275: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.799999999999994, Action: phi_i_H[0] decreased by 0.1
Episode 4278: lambda_i = 0, phi_i_L = 0.8999999999999979, phi_i_H = 4.5, Action: phi_i_L[0] decreased by 0.1
Episode 4281: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 4285: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.0000000000000013, Action: phi_i_L[0] decreased by 0.1
Episode 4291: lambda_i = 2, phi_i_L = 2.900000000000001, phi_i_H = 8.899999999999988, Action: phi_i_H[2] increased by 0.1
Episode 4315: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 4355: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 4363: lambda_i = 0, phi_i_L = 0.8999999999999979, phi_i_H = 4.4, Action: phi_i_H[0] decreased by 0.1
Episode 4365: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.0000000000000013, Action: phi_i_H[0] decreased by 0.1
Episode 4369: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.799999999999994, Action: phi_i_H[0] decreased by 0.1
Episode 4371: lambda_i = 2, phi_i_L = 3.000000000000001, phi_i_H = 8.899999999999988, Action: phi_i_L[2] increased by 0.1
Episode 4396: lambda_i = 2, phi_i_L = 3.000000000000001, phi_i_H = 8.899999999999988, Action: phi_i_L[2] increased by 0.1
Episode 4398: lambda_i = 0, phi_i_L = 0.8999999999999979, phi_i_H = 4.4, Action: phi_i_L[2] increased by 0.1
Episode 4416: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[2] increased by 0.1
Episode 4433: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[2] increased by 0.1
Episode 4442: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 4448: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.799999999999994, Action: phi_i_L[4] decreased by 0.1
Episode 4456: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 2.9000000000000012, Action: phi_i_H[3] decreased by 0.1
Episode 4462: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[4] decreased by 0.1
Episode 4471: lambda_i = 0, phi_i_L = 0.8999999999999979, phi_i_H = 4.300000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 4482: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 2.9000000000000012, Action: phi_i_H[0] decreased by 0.1
Episode 4489: lambda_i = 0, phi_i_L = 0.9999999999999979, phi_i_H = 4.300000000000001, Action: phi_i_L[0] increased by 0.1
Episode 4490: lambda_i = 2, phi_i_L = 3.000000000000001, phi_i_H = 8.899999999999988, Action: phi_i_L[0] increased by 0.1
Episode 4507: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[0] increased by 0.1
Episode 4514: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.799999999999994, Action: phi_i_L[0] increased by 0.1
Episode 4522: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 5.799999999999994, Action: phi_i_L[1] increased by 0.1
Episode 4543: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[1] increased by 0.1
Episode 4552: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 2.9000000000000012, Action: phi_i_L[1] increased by 0.1
Episode 4556: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[1] increased by 0.1
Episode 4561: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[1] increased by 0.1
Episode 4564: lambda_i = 2, phi_i_L = 3.000000000000001, phi_i_H = 8.899999999999988, Action: phi_i_L[1] increased by 0.1
Episode 4596: lambda_i = 2, phi_i_L = 3.000000000000001, phi_i_H = 8.899999999999988, Action: phi_i_L[1] increased by 0.1
Episode 4611: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 5.799999999999994, Action: phi_i_L[1] increased by 0.1
Episode 4613: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 5.799999999999994, Action: phi_i_L[1] increased by 0.1
Episode 4617: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 2.9000000000000012, Action: phi_i_L[1] increased by 0.1
Episode 4623: lambda_i = 0, phi_i_L = 0.9999999999999979, phi_i_H = 4.200000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 4631: lambda_i = 0, phi_i_L = 0.9999999999999979, phi_i_H = 4.200000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 4651: lambda_i = 2, phi_i_L = 3.100000000000001, phi_i_H = 8.899999999999988, Action: phi_i_L[2] increased by 0.1
Episode 4658: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[2] increased by 0.1
Episode 4685: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 2.9000000000000012, Action: phi_i_L[2] increased by 0.1
Episode 4689: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[2] increased by 0.1
Episode 4701: lambda_i = 0, phi_i_L = 1.0999999999999979, phi_i_H = 4.200000000000001, Action: phi_i_L[0] increased by 0.1
Episode 4712: lambda_i = 2, phi_i_L = 3.100000000000001, phi_i_H = 8.899999999999988, Action: phi_i_L[0] increased by 0.1
Episode 4714: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 5.699999999999994, Action: phi_i_H[1] decreased by 0.1
Episode 4717: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_H[4] decreased by 0.1
Episode 4729: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 5.699999999999994, Action: phi_i_H[4] decreased by 0.1
Episode 4739: lambda_i = 0, phi_i_L = 1.0999999999999979, phi_i_H = 4.100000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 4740: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 4747: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 2.800000000000001, Action: phi_i_H[3] decreased by 0.1
Episode 4749: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 8.899999999999988, Action: phi_i_L[2] increased by 0.1
Episode 4771: lambda_i = 0, phi_i_L = 1.0999999999999979, phi_i_H = 4.100000000000001, Action: phi_i_L[2] increased by 0.1
Episode 4772: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_L[2] increased by 0.1
Episode 4805: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[2] increased by 0.1
Episode 4813: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_L[2] increased by 0.1
Episode 4821: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 2.800000000000001, Action: phi_i_L[3] increased by 0.1
Episode 4826: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[5] increased by 0.1
Episode 4842: lambda_i = 0, phi_i_L = 1.0999999999999979, phi_i_H = 4.000000000000002, Action: phi_i_H[0] decreased by 0.1
Episode 4844: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 8.899999999999988, Action: phi_i_H[0] decreased by 0.1
Episode 4866: lambda_i = 0, phi_i_L = 1.0999999999999979, phi_i_H = 4.000000000000002, Action: phi_i_H[0] decreased by 0.1
Episode 4867: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 5.599999999999994, Action: phi_i_H[1] decreased by 0.1
Episode 4870: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 8.999999999999988, Action: phi_i_H[2] increased by 0.1
Episode 4871: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_H[2] increased by 0.1
Episode 4878: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.599999999999994, Action: phi_i_L[1] increased by 0.1
Episode 4898: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_L[1] increased by 0.1
Episode 4916: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 2.800000000000001, Action: phi_i_L[1] increased by 0.1
Episode 4950: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 2.9000000000000012, Action: phi_i_H[3] increased by 0.1
Episode 4952: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[3] increased by 0.1
Episode 4967: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.599999999999994, Action: phi_i_H[3] increased by 0.1
Episode 4969: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 8.899999999999988, Action: phi_i_H[2] decreased by 0.1
Episode 4974: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.599999999999994, Action: phi_i_H[2] decreased by 0.1
Episode 4975: lambda_i = 0, phi_i_L = 1.0999999999999979, phi_i_H = 3.9000000000000017, Action: phi_i_H[0] decreased by 0.1
Episode 4981: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[0] decreased by 0.1
Episode 4988: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 8.899999999999988, Action: phi_i_H[0] decreased by 0.1
Episode 4992: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 4994: lambda_i = 0, phi_i_L = 0.9999999999999979, phi_i_H = 3.9000000000000017, Action: phi_i_L[0] decreased by 0.1
Episode 5002: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 5012: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 3.0000000000000013, Action: phi_i_H[3] increased by 0.1
Episode 5042: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 3.0000000000000013, Action: phi_i_H[3] increased by 0.1
Episode 5076: lambda_i = 0, phi_i_L = 0.9999999999999979, phi_i_H = 3.9000000000000017, Action: phi_i_H[3] increased by 0.1
Episode 5087: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[5] increased by 0.1
Episode 5090: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[5] decreased by 0.1
Episode 5091: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 8.999999999999988, Action: phi_i_H[2] increased by 0.1
Episode 5092: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.599999999999994, Action: phi_i_H[2] increased by 0.1
Episode 5103: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_H[2] increased by 0.1
Episode 5116: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.699999999999994, Action: phi_i_H[1] increased by 0.1
Episode 5117: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 3.0000000000000013, Action: phi_i_H[1] increased by 0.1
Episode 5131: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_H[1] increased by 0.1
Episode 5144: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 8.999999999999988, Action: phi_i_H[1] increased by 0.1
Episode 5154: lambda_i = 0, phi_i_L = 0.8999999999999979, phi_i_H = 3.9000000000000017, Action: phi_i_L[0] decreased by 0.1
Episode 5162: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 3.0000000000000013, Action: phi_i_L[0] decreased by 0.1
Episode 5170: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.699999999999994, Action: phi_i_L[1] increased by 0.1
Episode 5190: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[1] increased by 0.1
Episode 5204: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[1] increased by 0.1
Episode 5221: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 2.600000000000001, Action: phi_i_L[4] increased by 0.1
Episode 5224: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 8.999999999999988, Action: phi_i_L[4] increased by 0.1
Episode 5240: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 3.0000000000000013, Action: phi_i_L[4] increased by 0.1
Episode 5241: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 2.600000000000001, Action: phi_i_L[4] increased by 0.1
Episode 5245: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.699999999999994, Action: phi_i_L[4] increased by 0.1
Episode 5249: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 8.999999999999988, Action: phi_i_L[4] increased by 0.1
Episode 5256: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.0000000000000013, Action: phi_i_L[3] decreased by 0.1
Episode 5262: lambda_i = 0, phi_i_L = 0.8999999999999979, phi_i_H = 3.8000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 5284: lambda_i = 0, phi_i_L = 0.8999999999999979, phi_i_H = 3.8000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 5285: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 2.600000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 5309: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.699999999999994, Action: phi_i_H[0] decreased by 0.1
Episode 5332: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.1000000000000014, Action: phi_i_H[3] increased by 0.1
Episode 5336: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[3] increased by 0.1
Episode 5342: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[5] increased by 0.1
Episode 5347: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[3] decreased by 0.1
Episode 5361: lambda_i = 0, phi_i_L = 0.8999999999999979, phi_i_H = 3.8000000000000016, Action: phi_i_L[3] decreased by 0.1
Episode 5367: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 9.099999999999987, Action: phi_i_H[2] increased by 0.1
Episode 5386: lambda_i = 0, phi_i_L = 0.7999999999999979, phi_i_H = 3.8000000000000016, Action: phi_i_L[0] decreased by 0.1
Episode 5390: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 2.700000000000001, Action: phi_i_H[4] increased by 0.1
Episode 5392: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 5403: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.699999999999994, Action: phi_i_L[4] decreased by 0.1
Episode 5407: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[4] decreased by 0.1
Episode 5424: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 9.099999999999987, Action: phi_i_L[4] decreased by 0.1
Episode 5445: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_H[5] increased by 0.1
Episode 5446: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 9.099999999999987, Action: phi_i_H[5] increased by 0.1
Episode 5464: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[5] decreased by 0.1
Episode 5484: lambda_i = 0, phi_i_L = 0.699999999999998, phi_i_H = 3.8000000000000016, Action: phi_i_L[0] decreased by 0.1
Episode 5490: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 5492: lambda_i = 2, phi_i_L = 3.300000000000001, phi_i_H = 9.099999999999987, Action: phi_i_L[2] increased by 0.1
Episode 5495: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[2] increased by 0.1
Episode 5513: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[2] increased by 0.1
Episode 5515: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.699999999999994, Action: phi_i_L[2] increased by 0.1
Episode 5517: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[2] increased by 0.1
Episode 5522: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_H[5] increased by 0.1
Episode 5537: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.699999999999994, Action: phi_i_L[1] decreased by 0.1
Episode 5565: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[1] decreased by 0.1
Episode 5572: lambda_i = 0, phi_i_L = 0.699999999999998, phi_i_H = 3.7000000000000015, Action: phi_i_H[0] decreased by 0.1
Episode 5575: lambda_i = 2, phi_i_L = 3.300000000000001, phi_i_H = 9.199999999999987, Action: phi_i_H[2] increased by 0.1
Episode 5598: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[3] decreased by 0.1
Episode 5607: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[3] decreased by 0.1
Episode 5615: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_H[3] decreased by 0.1
Episode 5619: lambda_i = 0, phi_i_L = 0.699999999999998, phi_i_H = 3.7000000000000015, Action: phi_i_H[3] decreased by 0.1
Episode 5625: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[3] decreased by 0.1
Episode 5627: lambda_i = 2, phi_i_L = 3.4000000000000012, phi_i_H = 9.199999999999987, Action: phi_i_L[2] increased by 0.1
Episode 5629: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.699999999999994, Action: phi_i_L[2] increased by 0.1
Episode 5652: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 2.700000000000001, Action: phi_i_L[4] increased by 0.1
Episode 5653: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_L[5] decreased by 0.1
Episode 5678: lambda_i = 0, phi_i_L = 0.699999999999998, phi_i_H = 3.7000000000000015, Action: phi_i_L[5] decreased by 0.1
Episode 5688: lambda_i = 0, phi_i_L = 0.699999999999998, phi_i_H = 3.6000000000000014, Action: phi_i_H[0] decreased by 0.1
Episode 5703: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.699999999999994, Action: phi_i_L[1] increased by 0.1
Episode 5706: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[1] increased by 0.1
Episode 5710: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[3] decreased by 0.1
Episode 5716: lambda_i = 2, phi_i_L = 3.4000000000000012, phi_i_H = 9.099999999999987, Action: phi_i_H[2] decreased by 0.1
Episode 5739: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_H[2] decreased by 0.1
Episode 5742: lambda_i = 0, phi_i_L = 0.699999999999998, phi_i_H = 3.5000000000000013, Action: phi_i_H[0] decreased by 0.1
Episode 5763: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 9.099999999999987, Action: phi_i_L[2] increased by 0.1
Episode 5769: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 2.700000000000001, Action: phi_i_L[2] increased by 0.1
Episode 5787: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[2] increased by 0.1
Episode 5795: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.699999999999994, Action: phi_i_L[2] increased by 0.1
Episode 5799: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 2.700000000000001, Action: phi_i_L[2] increased by 0.1
Episode 5804: lambda_i = 0, phi_i_L = 0.699999999999998, phi_i_H = 3.5000000000000013, Action: phi_i_L[2] increased by 0.1
Episode 5808: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_L[5] decreased by 0.1
Episode 5837: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 9.199999999999987, Action: phi_i_H[2] increased by 0.1
Episode 5853: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[2] increased by 0.1
Episode 5856: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 5.699999999999994, Action: phi_i_L[1] increased by 0.1
Episode 5873: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 5.699999999999994, Action: phi_i_L[1] increased by 0.1
Episode 5874: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 9.199999999999987, Action: phi_i_L[1] increased by 0.1
Episode 5875: lambda_i = 0, phi_i_L = 0.699999999999998, phi_i_H = 3.4000000000000012, Action: phi_i_H[0] decreased by 0.1
Episode 5881: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 5896: lambda_i = 0, phi_i_L = 0.599999999999998, phi_i_H = 3.4000000000000012, Action: phi_i_L[0] decreased by 0.1
Episode 5900: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_L[0] decreased by 0.1
Episode 5924: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[3] decreased by 0.1
Episode 5930: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 5959: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 9.199999999999987, Action: phi_i_L[4] decreased by 0.1
Episode 5966: lambda_i = 0, phi_i_L = 0.599999999999998, phi_i_H = 3.4000000000000012, Action: phi_i_L[4] decreased by 0.1
Episode 5970: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 5.699999999999994, Action: phi_i_L[4] decreased by 0.1
Episode 5979: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[4] decreased by 0.1
Episode 5983: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 5992: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 9.199999999999987, Action: phi_i_L[4] decreased by 0.1
Episode 5993: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.4000000000000017, Action: phi_i_H[5] increased by 0.1
Episode 6011: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 6012: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[4] decreased by 0.1
Episode 6015: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 5.699999999999994, Action: phi_i_L[4] decreased by 0.1
Episode 6023: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.4000000000000017, Action: phi_i_L[4] decreased by 0.1
Episode 6029: lambda_i = 0, phi_i_L = 0.599999999999998, phi_i_H = 3.4000000000000012, Action: phi_i_L[4] decreased by 0.1
Episode 6033: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 9.299999999999986, Action: phi_i_H[2] increased by 0.1
Episode 6068: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.5000000000000018, Action: phi_i_H[5] increased by 0.1
Episode 6074: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 5.799999999999994, Action: phi_i_H[1] increased by 0.1
Episode 6092: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 5.799999999999994, Action: phi_i_H[1] increased by 0.1
Episode 6109: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[4] increased by 0.1
Episode 6110: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[4] increased by 0.1
Episode 6116: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.4000000000000012, Action: phi_i_L[0] decreased by 0.1
Episode 6123: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 9.299999999999986, Action: phi_i_L[0] decreased by 0.1
Episode 6152: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[3] decreased by 0.1
Episode 6158: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.4000000000000012, Action: phi_i_L[3] decreased by 0.1
Episode 6165: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 9.299999999999986, Action: phi_i_L[3] decreased by 0.1
Episode 6167: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 6175: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.600000000000002, Action: phi_i_H[5] increased by 0.1
Episode 6195: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 5.799999999999994, Action: phi_i_H[5] increased by 0.1
Episode 6207: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.4000000000000012, Action: phi_i_H[5] increased by 0.1
Episode 6209: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[3] increased by 0.1
Episode 6211: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.799999999999994, Action: phi_i_L[1] decreased by 0.1
Episode 6213: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[1] decreased by 0.1
Episode 6228: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 9.299999999999986, Action: phi_i_L[1] decreased by 0.1
Episode 6234: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.4000000000000012, Action: phi_i_L[1] decreased by 0.1
Episode 6237: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.600000000000002, Action: phi_i_L[1] decreased by 0.1
Episode 6256: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.600000000000002, Action: phi_i_L[1] decreased by 0.1
Episode 6259: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.799999999999994, Action: phi_i_L[1] decreased by 0.1
Episode 6294: lambda_i = 2, phi_i_L = 3.5000000000000013, phi_i_H = 9.199999999999987, Action: phi_i_H[2] decreased by 0.1
Episode 6302: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 3.4000000000000012, Action: phi_i_H[2] decreased by 0.1
Episode 6322: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.700000000000002, Action: phi_i_H[5] increased by 0.1
Episode 6324: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[3] increased by 0.1
