Episode 73: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_L[0] increased by 0.1
Episode 4260: lambda_i = 1, phi_i_L = 0.19999999999999893, phi_i_H = 6.199999999999992, Action: phi_i_L[0] decreased by 0.1
Episode 4262: lambda_i = 0, phi_i_L = 0.399999999999998, phi_i_H = 5.399999999999997, Action: phi_i_H[0] decreased by 0.1
Episode 4279: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 4282: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 6.199999999999992, Action: phi_i_L[1] increased by 0.1
Episode 4331: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 6.299999999999992, Action: phi_i_H[1] increased by 0.1
Episode 4336: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_H[1] increased by 0.1
Episode 4341: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[3] decreased by 0.1
Episode 4342: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[5] decreased by 0.1
Episode 4351: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[5] decreased by 0.1
Episode 4357: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_H[5] increased by 0.1
Episode 4366: lambda_i = 0, phi_i_L = 0.399999999999998, phi_i_H = 5.399999999999997, Action: phi_i_H[5] increased by 0.1
Episode 4370: lambda_i = 2, phi_i_L = 2.0, phi_i_H = 8.29999999999999, Action: phi_i_H[5] increased by 0.1
Episode 4372: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_L[4] decreased by 0.1
Episode 4391: lambda_i = 0, phi_i_L = 0.399999999999998, phi_i_H = 5.299999999999997, Action: phi_i_H[0] decreased by 0.1
Episode 4408: lambda_i = 2, phi_i_L = 1.9, phi_i_H = 8.29999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 4413: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 6.299999999999992, Action: phi_i_L[2] decreased by 0.1
Episode 4416: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_L[5] decreased by 0.1
Episode 4444: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 6.3999999999999915, Action: phi_i_H[1] increased by 0.1
Episode 4449: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[3] decreased by 0.1
Episode 4457: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.4000000000000017, Action: phi_i_H[5] increased by 0.1
Episode 4467: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.4000000000000017, Action: phi_i_H[4] increased by 0.1
Episode 4473: lambda_i = 0, phi_i_L = 0.399999999999998, phi_i_H = 5.299999999999997, Action: phi_i_H[4] increased by 0.1
Episode 4488: lambda_i = 0, phi_i_L = 0.29999999999999805, phi_i_H = 5.299999999999997, Action: phi_i_L[0] decreased by 0.1
Episode 4496: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.4000000000000017, Action: phi_i_L[4] decreased by 0.1
Episode 4504: lambda_i = 2, phi_i_L = 1.9, phi_i_H = 8.39999999999999, Action: phi_i_H[2] increased by 0.1
Episode 4506: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_H[3] increased by 0.1
Episode 4535: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.5000000000000018, Action: phi_i_H[5] increased by 0.1
Episode 4550: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.5000000000000018, Action: phi_i_L[5] decreased by 0.1
Episode 4559: lambda_i = 0, phi_i_L = 0.29999999999999805, phi_i_H = 5.299999999999997, Action: phi_i_L[5] decreased by 0.1
Episode 4572: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 6.3999999999999915, Action: phi_i_L[5] decreased by 0.1
Episode 4576: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.5000000000000018, Action: phi_i_H[4] increased by 0.1
Episode 4578: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_L[3] decreased by 0.1
Episode 4588: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.5000000000000018, Action: phi_i_L[3] decreased by 0.1
Episode 4599: lambda_i = 0, phi_i_L = 0.19999999999999804, phi_i_H = 5.299999999999997, Action: phi_i_L[0] decreased by 0.1
Episode 4602: lambda_i = 2, phi_i_L = 1.7999999999999998, phi_i_H = 8.39999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 4609: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 6.499999999999991, Action: phi_i_H[1] increased by 0.1
Episode 4626: lambda_i = 2, phi_i_L = 1.7999999999999998, phi_i_H = 8.49999999999999, Action: phi_i_H[2] increased by 0.1
Episode 4632: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.600000000000002, Action: phi_i_H[5] increased by 0.1
Episode 4659: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.600000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 4663: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.5000000000000018, Action: phi_i_L[4] decreased by 0.1
Episode 4669: lambda_i = 0, phi_i_L = 0.19999999999999804, phi_i_H = 5.399999999999997, Action: phi_i_H[0] increased by 0.1
Episode 4677: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_L[3] decreased by 0.1
Episode 4679: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.4000000000000017, Action: phi_i_H[3] increased by 0.1
Episode 4686: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.600000000000002, Action: phi_i_H[4] increased by 0.1
Episode 4689: lambda_i = 2, phi_i_L = 1.6999999999999997, phi_i_H = 8.49999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 4712: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 6.499999999999991, Action: phi_i_L[2] decreased by 0.1
Episode 4725: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.700000000000002, Action: phi_i_H[5] increased by 0.1
Episode 4728: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.399999999999997, Action: phi_i_L[0] decreased by 0.1
Episode 4735: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 6.3999999999999915, Action: phi_i_H[1] decreased by 0.1
Episode 4750: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.700000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 4769: lambda_i = 2, phi_i_L = 1.6999999999999997, phi_i_H = 8.49999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 4784: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.600000000000002, Action: phi_i_L[4] decreased by 0.1
Episode 4798: lambda_i = 1, phi_i_L = 0.19999999999999893, phi_i_H = 6.3999999999999915, Action: phi_i_L[1] decreased by 0.1
Episode 4799: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.4999999999999964, Action: phi_i_H[0] increased by 0.1
Episode 4810: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.5000000000000018, Action: phi_i_H[3] increased by 0.1
Episode 4838: lambda_i = 1, phi_i_L = 0.19999999999999893, phi_i_H = 6.499999999999991, Action: phi_i_H[1] increased by 0.1
Episode 4843: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 5.4999999999999964, Action: phi_i_L[0] increased by 0.1
Episode 4844: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[5] increased by 0.1
Episode 4845: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.5000000000000018, Action: phi_i_L[3] decreased by 0.1
Episode 4846: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 4850: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.700000000000002, Action: phi_i_H[4] increased by 0.1
Episode 4868: lambda_i = 2, phi_i_L = 1.7999999999999998, phi_i_H = 8.49999999999999, Action: phi_i_L[2] increased by 0.1
Episode 4887: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 5.4999999999999964, Action: phi_i_L[2] increased by 0.1
Episode 4888: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.700000000000002, Action: phi_i_L[4] decreased by 0.1
Episode 4913: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.499999999999991, Action: phi_i_L[1] decreased by 0.1
Episode 4922: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.599999999999991, Action: phi_i_H[1] increased by 0.1
Episode 4931: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.5000000000000018, Action: phi_i_L[3] decreased by 0.1
Episode 4932: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.600000000000002, Action: phi_i_H[3] increased by 0.1
Episode 4943: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 5.4999999999999964, Action: phi_i_H[3] increased by 0.1
Episode 4962: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.700000000000002, Action: phi_i_H[3] increased by 0.1
Episode 4966: lambda_i = 2, phi_i_L = 1.7999999999999998, phi_i_H = 8.49999999999999, Action: phi_i_H[3] increased by 0.1
Episode 4975: lambda_i = 2, phi_i_L = 1.7999999999999998, phi_i_H = 8.599999999999989, Action: phi_i_H[2] increased by 0.1
Episode 4988: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.69999999999999, Action: phi_i_H[1] increased by 0.1
Episode 4993: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 5.399999999999997, Action: phi_i_H[0] decreased by 0.1
Episode 5003: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[0] decreased by 0.1
Episode 5020: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[0] decreased by 0.1
Episode 5043: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.700000000000002, Action: phi_i_L[4] decreased by 0.1
Episode 5047: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 6.69999999999999, Action: phi_i_L[1] increased by 0.1
Episode 5050: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.399999999999997, Action: phi_i_L[0] decreased by 0.1
Episode 5072: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.700000000000002, Action: phi_i_H[3] increased by 0.1
Episode 5074: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 6.79999999999999, Action: phi_i_H[1] increased by 0.1
Episode 5082: lambda_i = 2, phi_i_L = 1.7999999999999998, phi_i_H = 8.699999999999989, Action: phi_i_H[2] increased by 0.1
Episode 5089: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[4] increased by 0.1
Episode 5090: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.399999999999997, Action: phi_i_H[4] increased by 0.1
Episode 5091: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.700000000000002, Action: phi_i_L[3] decreased by 0.1
Episode 5096: lambda_i = 2, phi_i_L = 1.7999999999999998, phi_i_H = 8.699999999999989, Action: phi_i_L[3] decreased by 0.1
Episode 5147: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[3] increased by 0.1
Episode 5158: lambda_i = 2, phi_i_L = 1.7999999999999998, phi_i_H = 8.699999999999989, Action: phi_i_H[3] increased by 0.1
Episode 5162: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[3] increased by 0.1
Episode 5170: lambda_i = 2, phi_i_L = 1.6999999999999997, phi_i_H = 8.699999999999989, Action: phi_i_L[2] decreased by 0.1
Episode 5175: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[4] decreased by 0.1
Episode 5177: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[4] decreased by 0.1
Episode 5196: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 5209: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.79999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 5213: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[1] decreased by 0.1
Episode 5214: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.399999999999997, Action: phi_i_L[0] decreased by 0.1
Episode 5223: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.79999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 5226: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[0] decreased by 0.1
Episode 5248: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[0] decreased by 0.1
Episode 5253: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.299999999999997, Action: phi_i_H[0] decreased by 0.1
Episode 5256: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[3] increased by 0.1
Episode 5272: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_H[3] increased by 0.1
Episode 5273: lambda_i = 2, phi_i_L = 1.6999999999999997, phi_i_H = 8.699999999999989, Action: phi_i_H[3] increased by 0.1
Episode 5323: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.800000000000002, Action: phi_i_L[5] decreased by 0.1
Episode 5328: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[4] increased by 0.1
Episode 5333: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.79999999999999, Action: phi_i_H[4] increased by 0.1
Episode 5337: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[4] decreased by 0.1
Episode 5343: lambda_i = 2, phi_i_L = 1.6999999999999997, phi_i_H = 8.799999999999988, Action: phi_i_H[2] increased by 0.1
Episode 5357: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[2] increased by 0.1
Episode 5359: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.1999999999999975, Action: phi_i_H[0] decreased by 0.1
Episode 5370: lambda_i = 2, phi_i_L = 1.6999999999999997, phi_i_H = 8.799999999999988, Action: phi_i_H[0] decreased by 0.1
Episode 5372: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[3] decreased by 0.1
Episode 5383: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.1999999999999975, Action: phi_i_L[3] decreased by 0.1
Episode 5387: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[5] increased by 0.1
Episode 5399: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.79999999999999, Action: phi_i_H[5] increased by 0.1
Episode 5413: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[5] increased by 0.1
Episode 5415: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[5] increased by 0.1
Episode 5442: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.099999999999998, Action: phi_i_H[0] decreased by 0.1
Episode 5460: lambda_i = 2, phi_i_L = 1.6999999999999997, phi_i_H = 8.799999999999988, Action: phi_i_H[0] decreased by 0.1
Episode 5462: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[0] decreased by 0.1
Episode 5465: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_H[0] decreased by 0.1
Episode 5482: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.099999999999998, Action: phi_i_H[0] decreased by 0.1
Episode 5492: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[3] decreased by 0.1
Episode 5497: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.79999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 5499: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[3] decreased by 0.1
Episode 5506: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[3] decreased by 0.1
Episode 5519: lambda_i = 2, phi_i_L = 1.6999999999999997, phi_i_H = 8.799999999999988, Action: phi_i_L[3] decreased by 0.1
Episode 5530: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.79999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 5537: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.000000000000002, Action: phi_i_H[5] increased by 0.1
Episode 5554: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.000000000000002, Action: phi_i_H[4] increased by 0.1
Episode 5556: lambda_i = 2, phi_i_L = 1.6999999999999997, phi_i_H = 8.799999999999988, Action: phi_i_H[4] increased by 0.1
Episode 5563: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.099999999999998, Action: phi_i_H[4] increased by 0.1
Episode 5596: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.000000000000002, Action: phi_i_H[4] increased by 0.1
Episode 5603: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_H[5] increased by 0.1
Episode 5622: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.900000000000002, Action: phi_i_L[3] decreased by 0.1
Episode 5626: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 5646: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.79999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 5655: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.000000000000002, Action: phi_i_L[1] decreased by 0.1
Episode 5659: lambda_i = 2, phi_i_L = 1.6999999999999997, phi_i_H = 8.799999999999988, Action: phi_i_L[1] decreased by 0.1
Episode 5661: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.79999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 5663: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.099999999999998, Action: phi_i_L[1] decreased by 0.1
Episode 5664: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.000000000000002, Action: phi_i_H[3] increased by 0.1
Episode 5665: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 8.799999999999988, Action: phi_i_L[2] decreased by 0.1
Episode 5687: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.200000000000001, Action: phi_i_H[5] increased by 0.1
Episode 5696: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 5.099999999999998, Action: phi_i_H[5] increased by 0.1
Episode 5721: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.000000000000002, Action: phi_i_H[5] increased by 0.1
Episode 5726: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.200000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 5749: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.79999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 5759: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 8.799999999999988, Action: phi_i_L[5] decreased by 0.1
Episode 5763: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_H[3] increased by 0.1
Episode 5766: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 8.899999999999988, Action: phi_i_H[2] increased by 0.1
Episode 5772: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.000000000000002, Action: phi_i_H[2] increased by 0.1
Episode 5797: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.89999999999999, Action: phi_i_H[1] increased by 0.1
Episode 5808: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_H[4] increased by 0.1
Episode 5810: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 5.099999999999998, Action: phi_i_L[0] increased by 0.1
Episode 5824: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.200000000000001, Action: phi_i_L[0] increased by 0.1
Episode 5831: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_L[0] increased by 0.1
Episode 5834: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.89999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 5836: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 5.099999999999998, Action: phi_i_L[1] decreased by 0.1
Episode 5854: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_L[1] decreased by 0.1
Episode 5856: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_H[5] increased by 0.1
Episode 5877: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_H[5] increased by 0.1
Episode 5887: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 8.899999999999988, Action: phi_i_H[5] increased by 0.1
Episode 5898: lambda_i = 2, phi_i_L = 1.4999999999999996, phi_i_H = 8.899999999999988, Action: phi_i_L[2] decreased by 0.1
Episode 5903: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.200000000000001, Action: phi_i_H[4] increased by 0.1
Episode 5920: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 5938: lambda_i = 0, phi_i_L = 0.30000000000000004, phi_i_H = 5.099999999999998, Action: phi_i_L[0] increased by 0.1
Episode 5947: lambda_i = 0, phi_i_L = 0.30000000000000004, phi_i_H = 5.099999999999998, Action: phi_i_L[0] increased by 0.1
Episode 5954: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.89999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 5967: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 5977: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_H[5] increased by 0.1
Episode 5999: lambda_i = 2, phi_i_L = 1.4999999999999996, phi_i_H = 8.899999999999988, Action: phi_i_H[5] increased by 0.1
Episode 6004: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_L[5] decreased by 0.1
Episode 6010: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.89999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 6020: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.89999999999999, Action: phi_i_L[1] decreased by 0.1
Episode 6023: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_H[4] increased by 0.1
Episode 6024: lambda_i = 0, phi_i_L = 0.30000000000000004, phi_i_H = 5.099999999999998, Action: phi_i_H[4] increased by 0.1
Episode 6028: lambda_i = 2, phi_i_L = 1.4999999999999996, phi_i_H = 8.899999999999988, Action: phi_i_H[4] increased by 0.1
Episode 6029: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.200000000000001, Action: phi_i_H[3] increased by 0.1
Episode 6046: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_H[3] increased by 0.1
Episode 6060: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_H[3] increased by 0.1
Episode 6067: lambda_i = 0, phi_i_L = 0.30000000000000004, phi_i_H = 5.099999999999998, Action: phi_i_H[3] increased by 0.1
Episode 6088: lambda_i = 2, phi_i_L = 1.4999999999999996, phi_i_H = 8.999999999999988, Action: phi_i_H[2] increased by 0.1
Episode 6093: lambda_i = 0, phi_i_L = 0.30000000000000004, phi_i_H = 5.099999999999998, Action: phi_i_H[2] increased by 0.1
Episode 6113: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.200000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 6121: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_L[3] decreased by 0.1
Episode 6129: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.89999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 6146: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.200000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 6153: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.89999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 6158: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_H[4] increased by 0.1
Episode 6160: lambda_i = 0, phi_i_L = 0.30000000000000004, phi_i_H = 4.999999999999998, Action: phi_i_H[0] decreased by 0.1
Episode 6169: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.4, Action: phi_i_L[4] increased by 0.1
Episode 6184: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 8.999999999999988, Action: phi_i_L[2] increased by 0.1
Episode 6193: lambda_i = 0, phi_i_L = 0.20000000000000004, phi_i_H = 4.999999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 6203: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_L[0] decreased by 0.1
Episode 6219: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 8.999999999999988, Action: phi_i_L[0] decreased by 0.1
Episode 6224: lambda_i = 0, phi_i_L = 0.20000000000000004, phi_i_H = 4.899999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 6242: lambda_i = 1, phi_i_L = 0.1, phi_i_H = 6.89999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 6249: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_H[5] decreased by 0.1
Episode 6255: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 6.89999999999999, Action: phi_i_L[1] increased by 0.1
Episode 6262: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.200000000000001, Action: phi_i_L[1] increased by 0.1
Episode 6270: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.4, Action: phi_i_L[1] increased by 0.1
Episode 6283: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 6303: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.4, Action: phi_i_L[5] decreased by 0.1
Episode 6325: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_H[3] increased by 0.1
Episode 6333: lambda_i = 0, phi_i_L = 0.20000000000000004, phi_i_H = 4.899999999999999, Action: phi_i_H[3] increased by 0.1
Episode 6338: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.300000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 6340: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.4, Action: phi_i_H[5] increased by 0.1
Episode 6349: lambda_i = 1, phi_i_L = 0.2, phi_i_H = 6.999999999999989, Action: phi_i_H[1] increased by 0.1
Episode 6353: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 9.099999999999987, Action: phi_i_H[2] increased by 0.1
Episode 6354: lambda_i = 2, phi_i_L = 1.5999999999999996, phi_i_H = 9.099999999999987, Action: phi_i_H[2] increased by 0.1
